2.87190002e+02, 7.89180279e-01, 2.10819721e-01
3.39667625e+01, 9.33385566e-02, 1.17481172e-01
2.64491787e+01, 7.26807043e-02, 4.48004603e-02
7.63842964e+00, 2.09899303e-02, 2.38105059e-02
3.16826415e+00, 8.70619342e-03, 1.51042938e-02
1.64170456e+00, 4.51130234e-03, 1.05929971e-02
1.20269561e+00, 3.30493296e-03, 7.28803873e-03
9.04886365e-01, 2.48657144e-03, 4.80145216e-03
7.08914399e-01, 1.94805278e-03, 2.85339355e-03
3.21067572e-01, 8.82273773e-04, 1.97112560e-03
1.75336629e-01, 4.81814175e-04, 1.48928165e-03
1.15979224e-01, 3.18703707e-04, 1.17057562e-03
1.10642582e-01, 3.04038957e-04, 8.66532326e-04
9.52113122e-02, 2.61634763e-04, 6.04867935e-04
5.17948829e-02, 1.42329125e-04, 4.62532043e-04
3.62761468e-02, 9.96845993e-05, 3.62873077e-04
2.54490804e-02, 6.99324955e-05, 2.92956829e-04
1.97062679e-02, 5.41516019e-05, 2.38776207e-04
1.75916739e-02, 4.83408294e-05, 1.90436840e-04
1.38111170e-02, 3.79520934e-05, 1.52468681e-04
1.25478189e-02, 3.44806285e-05, 1.18017197e-04
8.67036730e-03, 2.38256307e-05, 9.41753387e-05
6.88297907e-03, 1.89139992e-05, 7.52806664e-05
5.96794765e-03, 1.63995501e-05, 5.88893890e-05
3.41391191e-03, 9.38121775e-06, 4.95314598e-05
3.00698332e-03, 8.26300311e-06, 4.12464142e-05
2.66233529e-03, 7.31593218e-06, 3.39150429e-05
2.63298559e-03, 7.23528092e-06, 2.67028809e-05
1.77700003e-03, 4.88308569e-06, 2.18153000e-05
1.52816181e-03, 4.19929393e-06, 1.76429749e-05
1.22166495e-03, 3.35705954e-06, 1.43051147e-05
1.05527218e-03, 2.89982245e-06, 1.13844872e-05
